acc,avespotlen,num_chunks,gbases,chunk_size,chunk
SRR3989434,300,16,47.573,10000000,16
SRR18502803,302,45,134.104,9933775,14
SRR26046973,300,16,47.989000000000004,10000000,9
ERR3274946,200,39,115.5,15000000,31
SRR10145194,302,40,117.537,9933775,16
SRR14699986,300,42,123.629,10000000,36
SRR8451836,302,35,104.965,9933775,35
SRR30413548,299,32,93.4,10033445,29
SRR21487923,302,18,53.123,9933775,17
SRR25503033,300,16,46.421,10000000,4
SRR21524771,302,49,144.457,9933775,18
SRR27907458,300,25,74.33200000000001,10000000,16
SRR5903331,502,15,43.02,5976096,3
SRR13892585,300,22,63.148,10000000,22
SRR28520279,302,34,100.98,9933775,27
SRR23287148,300,38,113.443,10000000,21
SRR14005100,302,40,118.161,9933775,28
SRR14092371,300,25,73.138,10000000,9
SRR15145666,302,44,131.122,9933775,29
SRR8451835,302,36,105.908,9933775,26
